source,target
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Offers credit line facility to customers 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Panning to use mobile phones in the future? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Period been banking with current bank
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Period using mobile money for transactions with customers 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Period using mobile money for transactions with suppliers 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Plan to invest more or less? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Planning to use mobile money in future? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Preferred mode of communicating with customers 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Preferred mode of communicating with suppliers 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Reason business doesn't use a bank account 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Reason business doesn't use mobile money 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Reason business started using mobile money 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Receives SMS/ text messages 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Sales increased with use of mobile money? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Sends/ receives money via mobile money? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Spend too much time at bank? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Supplier gets paid faster so goods are delivered faster? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Type of bank accout 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Unhappy with services offered by bank? 
Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,Uses mobile money to pay suppliers outside city 
